U+00009	CHARACTER TABULATION	Cc	Tab
U+0000A	LINE FEED (LF)	Cc	NewLine
U+00021	EXCLAMATION MARK	Po	excl
U+00022	QUOTATION MARK	Po	quot
U+00023	NUMBER SIGN	Po	num
U+00024	DOLLAR SIGN	Sc	dollar
U+00025	PERCENT SIGN	Po	percnt
U+00026	AMPERSAND	Po	amp
U+00027	APOSTROPHE	Po	apos
U+00028	LEFT PARENTHESIS	Ps	lpar
U+00029	RIGHT PARENTHESIS	Pe	rpar
U+0002A	ASTERISK	Po	ast     midast
U+0002B	PLUS SIGN	Sm	plus
U+0002C	COMMA	Po	comma
U+0002E	FULL STOP	Po	period
U+0002F	SOLIDUS	Po	sol
U+0003A	COLON	Po	colon
U+0003B	SEMICOLON	Po	semi
U+0003C	LESS-THAN SIGN	Sm	lt      LT
U+0003D	EQUALS SIGN	Sm	equals
U+0003E	GREATER-THAN SIGN	gt      GT
U+0003F	QUESTION MARK	Po	quest
U+00040	COMMERCIAL AT	Po	commat
U+0005B	LEFT SQUARE BRACKET	Ps	lsqb	lbrack
U+0005C	REVERSE SOLIDUS	Po	bsol
U+0005D	RIGHT SQUARE BRACKET	Pe	rsqb	rbrack
U+0005E	CIRCUMFLEX ACCENT	Sk	Hat
U+0005F	LOW LINE	Pc	lowbar
U+00060	GRAVE ACCENT	Sk	grave	DiacriticalGrave
U+0007B	LEFT CURLY BRACKET	Ps	lcub	lbrace
U+0007C	VERTICAL LINE	Sm	verbar	vert	VerticalLine
U+0007D	RIGHT CURLY BRACKET	Pe	rcub	rbrace
U+000A0	NO-BREAK SPACE	Zs	nbsp	NonBreakingSpace
U+000A1	INVERTED EXCLAMATION MARK	Po	iexcl
U+000A2	CENT SIGN	Sc	cent
U+000A3	POUND SIGN	Sc	pound
U+000A4	CURRENCY SIGN	Sc	curren
U+000A5	YEN SIGN	Sc	yen
U+000A6	BROKEN BAR	So	brvbar
U+000A7	SECTION SIGN	So	sect
U+000A8	DIAERESIS	Sk	Dot	die	DoubleDot	uml
U+000A9	COPYRIGHT SIGN	So	copy	COPY
U+000AA	FEMININE ORDINAL INDICATOR	Ll	ordf
U+000AB	LEFT-POINTING DOUBLE ANGLE QUOTATION MARK	Pi	laquo
U+000AC	NOT SIGN	Sm	not
U+000AD	SOFT HYPHEN	Cf	shy
U+000AE	REGISTERED SIGN	So	reg	circledR	REG
U+000AF	MACRON	Sk	macr	OverBar	strns
U+000B0	DEGREE SIGN	So	deg
U+000B1	PLUS-MINUS SIGN	Sm	plusmn	pm	PlusMinus
U+000B2	SUPERSCRIPT TWO	No	sup2
U+000B3	SUPERSCRIPT THREE	No	sup3
U+000B4	ACUTE ACCENT	Sk	acute	DiacriticalAcute
U+000B5	MICRO SIGN	Ll	micro
U+000B6	PILCROW SIGN	So	para
U+000B7	MIDDLE DOT	Po	middot	centerdot	CenterDot
U+000B8	CEDILLA	Sk	cedil	Cedilla
U+000B9	SUPERSCRIPT ONE	No	sup1
U+000BA	MASCULINE ORDINAL INDICATOR	Ll	ordm
U+000BB	RIGHT-POINTING DOUBLE ANGLE QUOTATION MARK	Pf	raquo
U+000BC	VULGAR FRACTION ONE QUARTER	No	frac14
U+000BD	VULGAR FRACTION ONE HALF	No	frac12	half
U+000BE	VULGAR FRACTION THREE QUARTERS	No	frac34
U+000BF	INVERTED QUESTION MARK	Po	iquest
U+000C0	LATIN CAPITAL LETTER A WITH GRAVE	Lu	Agrave
U+000C1	LATIN CAPITAL LETTER A WITH ACUTE	Lu	Aacute
U+000C2	LATIN CAPITAL LETTER A WITH CIRCUMFLEX	Lu	Acirc
U+000C3	LATIN CAPITAL LETTER A WITH TILDE	Lu	Atilde
U+000C4	LATIN CAPITAL LETTER A WITH DIAERESIS	Lu	Auml
U+000C5	LATIN CAPITAL LETTER A WITH RING ABOVE	Lu	Aring
U+000C6	LATIN CAPITAL LETTER AE	Lu	AElig
U+000C7	LATIN CAPITAL LETTER C WITH CEDILLA	Lu	Ccedil
U+000C8	LATIN CAPITAL LETTER E WITH GRAVE	Lu	Egrave
U+000C9	LATIN CAPITAL LETTER E WITH ACUTE	Lu	Eacute
U+000CA	LATIN CAPITAL LETTER E WITH CIRCUMFLEX	Lu	Ecirc
U+000CB	LATIN CAPITAL LETTER E WITH DIAERESIS	Lu	Euml
U+000CC	LATIN CAPITAL LETTER I WITH GRAVE	Lu	Igrave
U+000CD	LATIN CAPITAL LETTER I WITH ACUTE	Lu	Iacute
U+000CE	LATIN CAPITAL LETTER I WITH CIRCUMFLEX	Lu	Icirc
U+000CF	LATIN CAPITAL LETTER I WITH DIAERESIS	Lu	Iuml
U+000D0	LATIN CAPITAL LETTER ETH	Lu	ETH
U+000D1	LATIN CAPITAL LETTER N WITH TILDE	Lu	Ntilde
U+000D2	LATIN CAPITAL LETTER O WITH GRAVE	Lu	Ograve
U+000D3	LATIN CAPITAL LETTER O WITH ACUTE	Lu	Oacute
U+000D4	LATIN CAPITAL LETTER O WITH CIRCUMFLEX	Lu	Ocirc
U+000D5	LATIN CAPITAL LETTER O WITH TILDE	Lu	Otilde
U+000D6	LATIN CAPITAL LETTER O WITH DIAERESIS	Lu	Ouml
U+000D7	MULTIPLICATION SIGN	Sm	times
U+000D8	LATIN CAPITAL LETTER O WITH STROKE	Lu	Oslash
U+000D9	LATIN CAPITAL LETTER U WITH GRAVE	Lu	Ugrave
U+000DA	LATIN CAPITAL LETTER U WITH ACUTE	Lu	Uacute
U+000DB	LATIN CAPITAL LETTER U WITH CIRCUMFLEX	Lu	Ucirc
U+000DC	LATIN CAPITAL LETTER U WITH DIAERESIS	Lu	Uuml
U+000DD	LATIN CAPITAL LETTER Y WITH ACUTE	Lu	Yacute
U+000DE	LATIN CAPITAL LETTER THORN	Lu	THORN
U+000DF	LATIN SMALL LETTER SHARP S	Ll	szlig
U+000E0	LATIN SMALL LETTER A WITH GRAVE	Ll	agrave
U+000E1	LATIN SMALL LETTER A WITH ACUTE	Ll	aacute
U+000E2	LATIN SMALL LETTER A WITH CIRCUMFLEX	Ll	acirc
U+000E3	LATIN SMALL LETTER A WITH TILDE	Ll	atilde
U+000E4	LATIN SMALL LETTER A WITH DIAERESIS	Ll	auml
U+000E5	LATIN SMALL LETTER A WITH RING ABOVE	Ll	aring
U+000E6	LATIN SMALL LETTER AE	Ll	aelig
U+000E7	LATIN SMALL LETTER C WITH CEDILLA	Ll	ccedil
U+000E8	LATIN SMALL LETTER E WITH GRAVE	Ll	egrave
U+000E9	LATIN SMALL LETTER E WITH ACUTE	Ll	eacute
U+000EA	LATIN SMALL LETTER E WITH CIRCUMFLEX	Ll	ecirc
U+000EB	LATIN SMALL LETTER E WITH DIAERESIS	Ll	euml
U+000EC	LATIN SMALL LETTER I WITH GRAVE	Ll	igrave
U+000ED	LATIN SMALL LETTER I WITH ACUTE	Ll	iacute
U+000EE	LATIN SMALL LETTER I WITH CIRCUMFLEX	Ll	icirc
U+000EF	LATIN SMALL LETTER I WITH DIAERESIS	Ll	iuml
U+000F0	LATIN SMALL LETTER ETH	Ll	eth
U+000F1	LATIN SMALL LETTER N WITH TILDE	Ll	ntilde
U+000F2	LATIN SMALL LETTER O WITH GRAVE	Ll	ograve
U+000F3	LATIN SMALL LETTER O WITH ACUTE	Ll	oacute
U+000F4	LATIN SMALL LETTER O WITH CIRCUMFLEX	Ll	ocirc
U+000F5	LATIN SMALL LETTER O WITH TILDE	Ll	otilde
U+000F6	LATIN SMALL LETTER O WITH DIAERESIS	Ll	ouml
U+000F7	DIVISION SIGN	Sm	divide	div
U+000F8	LATIN SMALL LETTER O WITH STROKE	Ll	oslash
U+000F9	LATIN SMALL LETTER U WITH GRAVE	Ll	ugrave
U+000FA	LATIN SMALL LETTER U WITH ACUTE	Ll	uacute
U+000FB	LATIN SMALL LETTER U WITH CIRCUMFLEX	Ll	ucirc
U+000FC	LATIN SMALL LETTER U WITH DIAERESIS	Ll	uuml
U+000FD	LATIN SMALL LETTER Y WITH ACUTE	Ll	yacute
U+000FE	LATIN SMALL LETTER THORN	Ll	thorn
U+000FF	LATIN SMALL LETTER Y WITH DIAERESIS	Ll	yuml
U+00100	LATIN CAPITAL LETTER A WITH MACRON	Lu	Amacr
U+00101	LATIN SMALL LETTER A WITH MACRON	Ll	amacr
U+00102	LATIN CAPITAL LETTER A WITH BREVE	Lu	Abreve
U+00103	LATIN SMALL LETTER A WITH BREVE	Ll	abreve
U+00104	LATIN CAPITAL LETTER A WITH OGONEK	Lu	Aogon
U+00105	LATIN SMALL LETTER A WITH OGONEK	Ll	aogon
U+00106	LATIN CAPITAL LETTER C WITH ACUTE	Lu	Cacute
U+00107	LATIN SMALL LETTER C WITH ACUTE	Ll	cacute
U+00108	LATIN CAPITAL LETTER C WITH CIRCUMFLEX	Lu	Ccirc
U+00109	LATIN SMALL LETTER C WITH CIRCUMFLEX	Ll	ccirc
U+0010A	LATIN CAPITAL LETTER C WITH DOT ABOVE	Lu	Cdot
U+0010B	LATIN SMALL LETTER C WITH DOT ABOVE	Ll	cdot
U+0010C	LATIN CAPITAL LETTER C WITH CARON	Lu	Ccaron
U+0010D	LATIN SMALL LETTER C WITH CARON	Ll	ccaron
U+0010E	LATIN CAPITAL LETTER D WITH CARON	Lu	Dcaron
U+0010F	LATIN SMALL LETTER D WITH CARON	Ll	dcaron
